":START_ID",":END_ID","relation","concepts","synsets",":TYPE"
"module thermal cycling setup","list","add","['augment', 'increase', 'append', 'enlarge']","[]","Relation"
"hybrid crate setup","list","add","['augment', 'increase', 'append', 'enlarge']","[]","Relation"
"Hybrid crate status","do","should","['require', 'expected', 'necessary', 'must', 'ought']","[]","Relation"
"FMC-DP","trickier","be","['occur', 'happen', 'be present', 'take place', 'exist']","[]","Relation"
"output buffers","trickiness","cause","['produce', 'provoke', 'induce', 'initiate', 'lead to', 'trigger', 'prompt', 'create', 'result in']","[]","Relation"
"UV LED driver","no questions","has","['possess', 'hold', 'own', 'contain', 'have']","[]","Relation"
"DCDC coil order","be run","need","['require', 'demand', 'necessity', 'obligation']","[]","Relation"
"Uli","sign-off","need","['require', 'demand', 'necessity', 'obligation']","[]","Relation"
"Didier et al.","sign-off","need","['require', 'demand', 'necessity', 'obligation']","[]","Relation"
"QC steps","magnet tests","include","['contain', 'comprise', 'encompass']","[]","Relation"
"QC steps","irradiation","include","['contain', 'comprise', 'encompass']","[]","Relation"
"QC steps","temperature range","include","['contain', 'comprise', 'encompass']","[]","Relation"
"QC steps","solder joint","include","['contain', 'comprise', 'encompass']","[]","Relation"
"QC steps","purchasing components","include","['contain', 'comprise', 'encompass']","[]","Relation"
"Barrel powerboards","not","should","['require', 'expected', 'necessary', 'must', 'ought']","[]","Relation"
"Barrel hybrids","not","should","['require', 'expected', 'necessary', 'must', 'ought']","[]","Relation"
"EC","not","should","['require', 'expected', 'necessary', 'must', 'ought']","[]","Relation"
"Review office","happy","is","['equal', 'constitute', 'belong', 'represent', 'exist']","[]","Relation"
"email","volunteers","send","['dispatch', 'convey', 'forward', 'transmit', 'ship']","[]","Relation"
"QC document","Timon/Carl/Satish","write","['produce', 'pen', 'author', 'create', 'compose', 'draft']","[]","Relation"
"review office","Tony A","contact","['get in touch', 'reach', 'reach out', 'connect', 'link', 'touch']","[]","Relation"
"The participants decided to appear in the minutes from next week onwards.","The minutes will appear in this space from next week onwards.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Craig introduced the topic of minutes.","Suggestion for minutes - (Bart) suggestion to use google docs for minutes and allow others to help with minuting.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Bart suggested using Google Docs for minutes and allowing others to help with minuting.","Phil pointed out that the action list is probably the most important part of all of this.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Phil pointed out that the action list is probably the most important part of all of this.","The participants discussed the QC groups.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Tony suggested adding a hybrid/module assembly group to the list.","Craig agreed to add this to the list in 3 months or so.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Craig agreed to add the hybrid/module assembly group to the list in 3 months or so.","They discussed the powerboard mass tester, module thermal cycling setup, and hybrid crate setup.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Ash reported on the hybrid crate status.","Craig suggested doing the same on FMC-DP.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Craig suggested doing the same on FMC-DP.","Vitaliy pointed out that it would be bit trickier due to output buffers.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Vitaliy pointed out that it would be bit trickier due to output buffers.","They discussed the possible solutions such as back termination.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Craig reported on the UV LED driver.","There were no questions.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Carl reported on the DCDC coil order.","Barrel (Timon) was happy to sign-off.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Barrel (Timon) was happy to sign-off.","Tony and Craig agreed that they would need to run it past Uli for BMBF part.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Tony and Craig agreed that they would need to run it past Uli for BMBF part.","They also needed to run it past Didier et al.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Tony and Craig agreed that they would need to run it past Didier et al.","This could be done along with the passive components.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Dennis agreed that Timon was happy.","Ulli was also happy.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Ulli was also happy.","Craig asked about the QC steps.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Craig asked about the QC steps.","Satish answered that the QC steps would include magnet tests at Yale and irradiation at BNL.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Satish answered that the QC steps would include magnet tests at Yale and irradiation at BNL.","Carl, Satish, and Timon were tasked with writing a document on the QC steps.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Carl, Satish, and Timon were tasked with writing a document on the QC steps.","Tony A was tasked with contacting the review office about coil ordering.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Craig assigned tasks to the participants.","The participants agreed on the tasks and the next steps.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Suggestion for minutes to use Google Docs was made by Bart.","Bart","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Suggestion for minutes to use Google Docs was made by Bart.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Suggestion for minutes to use Google Docs was made by Bart.","Phil","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"QC groups should be added to the list, including a hybrid/module assembly group.","Tony","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"QC groups should be added to the list, including a hybrid/module assembly group.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Hybrid crate status was discussed, with Craig suggesting doing the same on FMC-DP.","Ash","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Hybrid crate status was discussed, with Craig suggesting doing the same on FMC-DP.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Hybrid crate status was discussed, with Craig suggesting doing the same on FMC-DP.","Vitaliy","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"UV LED driver was discussed without any questions.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"DCDC coil order was discussed, with Barrel being happy to sign-off.","Carl","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"DCDC coil order was discussed, with Barrel being happy to sign-off.","Timon","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"DCDC coil order was discussed, with Barrel being happy to sign-off.","Tony","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"DCDC coil order was discussed, with Barrel being happy to sign-off.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"DCDC coil order was discussed, with Barrel being happy to sign-off.","Ulli","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"DCDC coil order was discussed, with Barrel being happy to sign-off.","Dennis","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"DCDC coil order was discussed, with Barrel being happy to sign-off.","Satish","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"QC steps for coil order were discussed, with Satish answering.","Carl","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"QC steps for coil order were discussed, with Satish answering.","Satish","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"QC steps for coil order were discussed, with Satish answering.","Timon","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Email was sent around for volunteers for QC groups.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"QC document for coils was assigned to Timon/Carl/Satish to write.","Timon","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"QC document for coils was assigned to Timon/Carl/Satish to write.","Carl","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"QC document for coils was assigned to Timon/Carl/Satish to write.","Satish","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Review office was contacted about coil ordering by Tony A.","Tony A","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Minutes","Strip Module Meeting","carry","['bear', 'hold', 'convey', 'support', 'lift']","[]","Relation"
"Actions","over","carry","['bear', 'hold', 'convey', 'support', 'lift']","[]","Relation"
"QC document","coils","write","['produce', 'pen', 'author', 'create', 'compose', 'draft']","[]","Relation"
"QC document","pre-production","bring","['bring', 'transport', 'move', 'carry', 'transfer']","[]","Relation"
"QC groups","documents","comply","['conform', 'adhere', 'obey', 'follow']","[]","Relation"
"Updates","Craig & Ingo","give","['present', 'share', 'impart', 'bestow', 'donate']","[]","Relation"
"Updates","topics","focus","['prioritize', 'center', 'concentrate', 'emphasis', 'attention']","[]","Relation"
"Instructions","pre-production","need","['require', 'demand', 'necessity', 'obligation']","[]","Relation"
"FMC-DP","email","send","['dispatch', 'convey', 'forward', 'transmit', 'ship']","[]","Relation"
"FMC-DP","google doc","update","['change', 'refresh', 'modify', 'renew', 'revise']","[]","Relation"
"Site Qualification Survey","email","send","['dispatch', 'convey', 'forward', 'transmit', 'ship']","[]","Relation"
"FDR","documents","start","['ignite', 'launch', 'commence', 'initiate', 'begin', 'spark']","[]","Relation"
"Electrical tests","Bob","volunteer","['offer', 'contribute', 'give', 'donate', 'participate']","[]","Relation"
"The meeting minutes were recorded on 14/01/20.","The actions carried over from the previous meeting were discussed.","before","['earlier', 'prior', 'precede', 'lead', 'precedes']","[]","Relation"
"The actions carried over were to be written down in the minutes.","The meeting minutes were recorded on 14/01/20.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"People listed as responsible will be contacted periodically for updates.","Updates could be verbal, email or slides in a meeting.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Updates could be verbal, email or slides in a meeting.","The people listed as responsible will be contacted periodically for updates.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Dave asked how he should understand a watching brief.","Dave: how do I understand a watching brief?","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Craig and Ingo explained that a watching brief requires regular updates.","Dave asked how he should understand a watching brief.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Craig and Ingo mentioned that what was not in the list on page 2 was not discussed.","Craig & Ingo: Anything else than in list on page 2?","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Bob volunteered for electrical tests.","Bob volunteers for electrical tests","as a result","['yield', 'outcome', 'consequence', 'effect', 'result', 'lead', 'follow']","[]","Relation"
"The group is supposed to comply with documents provided.","Groups need to comply with documents provided!","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"QC groups are supposed to bring the group closer to a state with nice instructions for pre-production.","QC groups are supposed to bring us closer to a state where we have those","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Karola sent an email with the site quali document.","1. Send site quali document email (Karola)","as a result","['yield', 'outcome', 'consequence', 'effect', 'result', 'lead', 'follow']","[]","Relation"
"Actions carried over 1. Write QC document for coils (Timon/Carl/Satish)","Timon","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Actions carried over 1. Write QC document for coils (Timon/Carl/Satish)","Carl","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Actions carried over 1. Write QC document for coils (Timon/Carl/Satish)","Satish","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Watching brief Item | Responsible | Next update expected HV tab bonding | Jens | 03/02/2020","Jens","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Hybrid crate roll-out | Ash | 03/02/2020","Ash","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Module thermal cycling roll-out | Dave/Ankush/Sergio | 03/02/2020","Dave","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Module thermal cycling roll-out | Dave/Ankush/Sergio | 03/02/2020","Ankush","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Module thermal cycling roll-out | Dave/Ankush/Sergio | 03/02/2020","Sergio","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Powerboard mass tester roll-out | Timon/Karol | 03/02/2020","Timon","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Powerboard mass tester roll-out | Timon/Karol | 03/02/2020","Karol","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Barrel hybrid tendering | Bart/Ash | 03/02/2020","Bart","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Barrel hybrid tendering | Bart/Ash | 03/02/2020","Ash","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Barrel powerboard tendering | Carl/Timon | 03/02/2020","Carl","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Barrel powerboard tendering | Carl/Timon | 03/02/2020","Timon","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"EC hybrid/powerboard tendering | Uli/Kambiz/Dennis | 03/02/2020","Uli","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"EC hybrid/powerboard tendering | Uli/Kambiz/Dennis | 03/02/2020","Kambiz","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"EC hybrid/powerboard tendering | Uli/Kambiz/Dennis | 03/02/2020","Dennis","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"EC tooling design/roll-out | Marc | 03/02/2020","Marc","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Barrel tooling design finalisation/roll-out | Sven | 03/02/2020","Sven","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates (certainly on the date listed, if not before!)","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"People listed as responsible will be contacted periodically by Craig & Ingo for updates (certainly on the date listed, if not before!)","Ingo","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Dave: how do I understand a watching brief?","Dave","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Bob volunteers for electrical tests","Bob","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Site Qualification Survey (Karola) - No questions","Karola","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"FMC-DP Status (Craig) - Send email to Craig if you need a “multi module to nexys” card (aka FMC-DP) by ITk week or afterwards","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"1. Send site quali document email (Karola)","Karola","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig & Ingo","ITk week session","comment","['offer opinions', 'share thoughts', 'give feedback']","[]","Relation"
"Karola","shipping box survey","present","['appear', 'show up', 'be there', 'exist']","[]","Relation"
"Bart","Tony W","discuss","['talk', 'deliberate', 'debate', 'converse']","[]","Relation"
"Sven","Prototype HV tab holder","question","['query', 'inquire', 'interrogate', 'ask', 'probe']","[]","Relation"
"Sven","test coupon design","copy","['reproduce', 'duplicate', 'replicate', 'imitate', 'mirror']","[]","Relation"
"Dennis","Kambiz","inform","['disclose', 'share', 'enlighten', 'notify', 'advise']","[]","Relation"
"Sarah & Kunlin","mechanical hybrids","order","['sequence', 'arrange', 'organize', 'rank']","[]","Relation"
"Dennis","0.25mm core","check","['inspect', 'examine', 'test', 'verify']","[]","Relation"
"Jane","UV glue","test","['try', 'evaluate', 'examine']","[]","Relation"
"Dennis & Marc","EC Tabs","consider","['think', 'ponder', 'regard', 'analyze', 'view']","[]","Relation"
"Craig & Ingo","ITk week presenters","email","['contact', 'communicate', 'send', 'message']","[]","Relation"
"The minutes of the Strip Module Meeting were recorded on 28/01/20.","Actions were carried over from the meeting, including writing a QC document for coils.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Craig and Ingo will contact the people listed as responsible periodically for updates.","Updates could be verbal, email, or slides in a meeting.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Craig and Ingo introduced the meeting.","A comment was made to move weighing and bonding later in the ITk week session.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"A shipping box survey was conducted.","A question was raised on whether the survey referred to all shipping options.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"A prototype HV tab holder was discussed.","It was useful to save time.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Vitaliy commented that a prototype HV tab holder was useful.","The prototype HV tab holder was discussed.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Test coupon measurements were taken.","It was confirmed that ASIC lands on test coupons identical to hybrids.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"It was confirmed that ASIC lands on test coupons identical to hybrids.","Metal trace variability should not affect shield layer functionality.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"It was confirmed that metal trace variability should not affect shield layer functionality.","Via chain will remain.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"It was confirmed that via chain will remain.","The EC is using the same test coupon.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Kambiz copied the design of the test coupon as far as Sven knows.","The EC is using the same test coupon.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Dennis will make Kambiz aware of the change proposal.","A change proposal was discussed regarding the test coupon.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Mechanical endcap hybrids were discussed.","It was confirmed that a 0.25mm core is okay.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"A 0.25mm core was confirmed to be okay.","The tender process is not yet complete.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Prague wants to order more mechanical hybrids.","Mechanical endcap hybrids were discussed.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Ordering of mechanical hybrids is not yet closed.","Prague wants to order more mechanical hybrids.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Karola will add a link to the google sheet to the EC planning meeting agenda.","Prague wants to order more mechanical hybrids.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"A UV and polaris epoxy temperature dependence study was conducted.","It was confirmed that temperature-dependent calibration has been done.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Temperature-dependent calibration has been done.","The study was conducted.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"A stencil might be more reliable for the UV and polaris epoxy study.","It was confirmed that a stencil might be more reliable.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"It was determined that glue amounts should be checked by weight.","A question was raised on how to check glue amounts.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Tests for the UV and polaris epoxy temperature dependence were done without hardener.","A study was conducted on the temperature dependence of UV glue.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"The EC HV tab jig was discussed.","A proposal was made to move all EC tabs to 5mm longer.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"It was decided not to move all EC tabs to 5mm longer.","There would be knock-on effects in the cold box design.","because","['owing to', 'thanks to', 'as a result of', 'due to']","[]","Relation"
"Forest added an additional talk about wire bonding.","Items were left for discussion, including wire bonding.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Craig and Ingo will email the ITk week presenters and upload the minutes to indico.","The minutes of the meeting were recorded on 28/01/20.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Writing a QC document for coils was assigned as an action.","The minutes of the meeting were recorded on 28/01/20.","after","['later', 'afterwards', 'next', 'afterward', 'follow']","[]","Relation"
"Craig and Ingo will email the ITk week presenters and upload the minutes to indico.","Writing a QC document for coils was assigned as an action.","at the same time","['happen together', 'coexist', 'overlap', 'coincide', 'synchronize']","[]","Relation"
"Craig & Ingo introduced the meeting.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig & Ingo introduced the meeting.","Ingo","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
"Craig & Ingo suggested moving weighing and bonding to a later session.","Craig","is participated by","['host', 'feature', 'have', 'sponsor']","[]","Relation"
