node,conceptualized_node,node_type
The next update expected for EC tooling design/roll-out is 03/02/2020.,"update, launch, deadline, rollout, planning",event
"Dave, Ankush, and Sergio were responsible for the roll-out of the module thermal cycling.","project, deployment, testing, collaboration, roll-out",event
The clearance was potentially at risk.,"risk, threat, danger, clearance, exposure",event
People listed as responsible will be contacted periodically by Craig & Ingo for updates,"notification, contact, updates, followup, reminders",event
Ash reported on the hybrid crate status.,"report, status, update, tracking, monitoring",event
Sarah & Kunlin discussed mechanical endcap hybrids.,"consultation, discussion, research, innovation",event
It was confirmed that ASIC lands on test coupons identical to hybrids.,"landing, verification, confirmation, testing, validation",event
Craig & Ingo will contact the people periodically.,"contact, updates, communication, periodic, outreach",event
A UV and polaris epoxy temperature dependence study was conducted.,"study, research, analysis, testing, dependence",event
"People listed as responsible will be contacted periodically by Craig & Ingo for updates (certainly on the date listed, if not before!)","notification, update, reminder, contact, inquiry",event
The meeting minutes were recorded on 14/01/20.,documentation,event
The high voltage connector could be changed to be on a separate connector.,"separation, upgrade, change, isolation",event
It was decided not to move all EC tabs to 5mm longer.,"decision, design, adjustment, tolerance, engineering",event
The introduction by Craig & Ingo was completed.,"introduction, presentation, unveiling, completion, welcome",event
The diodes need to be placed carefully in the frame.,"placement, assembly, electronics",event
"How do you use the humidity indicators and dessicant with this box, looks like bag volume and sensor volume connection can be blocked by vacuum sealing","humidity, sealing, vacuum, blocking, connection, issue, problem, solution, handling",event
Suction cup “hole” dimensions to be updated (mistake by Craig),"error, misprint, update, mistake, redesign",event
Karola will add a link to the google sheet to the EC planning meeting agenda.,"collaboration, planning, sharing, update, meeting",event
The cons of keeping the single connector were discussed.,"discussion, critique, debate, analysis, drawbacks",event
"DCDC coil order was discussed, with Barrel being happy to sign-off.","dcdc, meeting, discussion, signing",event
Vitaliy pointed out that it would be bit trickier due to output buffers.,"buffer, output, trick, issue, complexity",event
"Assembly of box with threaded back-plane trickier without screw guidance, risk of sensor moving around whilst you are assembling","assembly, challenge, complexity, difficulty, precision",event
Module thermal cycling roll-out | Dave/Ankush/Sergio | 03/02/2020,"testing, experiment, trial, rollout, development",event
The responsible personnel were contacted periodically by Craig & Ingo for updates.,"updates, contact, communication, meetings, coordination",event
Need to investigate the other materials available,"examination, discovery, research, inquiry",event
The actions carried over were to be written down in the minutes.,"recording, transcribing, minutes, protocol, documentation",event
There were no questions.,"silence, quiet, stillness, absence, emptiness",event
The pros of keeping the single connector were discussed.,"debate, discussion, advantage",event
Removing the diodes along one side or the other could be an option.,"diode, removal, repair, fix, option",event
Craig & Ingo introduced the meeting.,"introduction, meeting, greeting, welcome, presentation",event
People listed as responsible will be contacted periodically for updates.,"updates, contact, followup, notifications, reminders",event
Labels to be included on the PCB silk screen in case of running without transport frame in place.,"warning, label, printing, pcb, production",event
Carl and Timon were assigned to tender the barrel powerboard.,"tender, assignment, maintenance, repair, task",event
The clearance on module transport frame for RFID was questioned.,"clearance, transport, security, module, issue",event
EC tooling design/roll-out | Marc | 03/02/2020,"design, roll-out, development, project",event
Actions NONE,"actions, inaction, passivity",event
Tony A was tasked with contacting the review office about coil ordering.,"ordering, task, contact, complaint, inquiry",event
Satish discussed the DCDC coils.,"design, conference, discussion, research, collaboration",event
SCIPP looking at side pocket solution,"scipp, discovery, invention, innovation",event
Dennis will make Kambiz aware of the change proposal.,"communication, notification, alert, inform, proposal",event
Jens is responsible for HV tab bonding,"hv bonding, adhesion, bonding, manufacturing, production",event
Site Qualification Survey (Karola) - No questions,"qualification, survey, assessment, inspection, audit, evaluation",event
Generally seems to make the assembly nicer,"beautification, decoration, improvement, renovation",event
FMC-DP Status (Craig) - Send email to Craig if you need a “multi module to nexys” card (aka FMC-DP) by ITk week or afterwards,"request, deadline, reminder, notification",event
Luise provided a tutorial on uploading test results to the database.,"training, tutorial, uploading, data, management",event
Bob volunteers for electrical tests,"electrify, test, current, shock, safety",event
Craig and Ingo explained that a watching brief requires regular updates.,"explanation, briefing, updates, requirement, procedure",event
Ash is responsible for Hybrid crate roll-out,"deployment, launch, rollout, responsibility, management",event
Hybrid crate roll-out | Ash | 03/02/2020,"product, launch, rollout, technology, innovation",event
"US agrees with commitment to v4 and would keep baseline as v4 with a few v5 (100) for validation, Dennis doesn’t really care but is happy to stick to v4","agreement, commitment, validation, sticking, compliance",event
Bart suggested using Google Docs for minutes and allowing others to help with minuting.,"collaboration, sharing, document, meeting, collaboration",event
A 0.25mm core was confirmed to be okay.,"inspection, acceptance, testing, validation",event
Sven discussed the barrel module frame and hybrid panel finalisation.,"design, development, engineering, discussion, finalisation",event
They discussed the possible solutions such as back termination.,"discuss, negotiation, termination, solution, strategy",event
Also N2 flushed sealing rather than vacuum could be an option,"gas, purge, release, vacuum, seal",event
The specs were defined more by what is possible with available wire.,"constraints, limitation, wirebound, restrictions, limitation",event
Kambiz copied the design of the test coupon as far as Sven knows.,"copying, forgery, theft, plagiarism",event
The QC boundaries of the coils were questioned from a powerboard performance point of view.,"testing, inspection, quality, standards",event
Nothing was reported from the introduction.,"silence, emptiness, void",event
Karola sent an email with the site quali document.,"communication, sending, document, email, work",event
Craig assigned tasks to the participants.,"assignment, delegation, management",event
Carl/Timon are responsible for Barrel powerboard tendering,"tendering, tender, procurement, contract, negotiation",event
Barrel powerboard tendering | Carl/Timon | 03/02/2020,"employment, tender, job, application, hiring",event
Craig and Ingo introduced the meeting.,"introduction, meeting, greeting",event
QC groups are supposed to bring us closer to a state where we have those,"testing, quality, assurance, control, standard, validation",event
The next update expected for Barrel hybrid tendering is 03/02/2020.,"update, release, rollout, tender",event
Craig agreed to add the hybrid/module assembly group to the list in 3 months or so.,"commit, agreement, deadline, addition, extension",event
The quantity of DCDC coils was evaluated.,"evaluation, testing, inspection, analysis",event
Marc is responsible for EC tooling design/roll-out,"design, roll-out, task, deployment, responsibility",event
Updated versions will be uploaded to EDMS for discussion,"update, upload, sharing",event
There would be knock-on effects in the cold box design.,"consequences, design, effects, impacts, repercussions",event
Sticking suction cups,"adhesion, bonding, stick, attach",event
A change proposal was discussed regarding the test coupon.,"discuss, proposal, debate, coupon, reform",event
Craig & Ingo: Anything else than in list on page 2?,"debate, question, inquiry",event
Actions were carried over.,"carryover, transfer, continuation, legacy, inheritance",event
"16,000 for barrel makes sense to Dennis but looks like overhead is slightly different.","16, 000, barrel, overhead, pricing, negotiation",event
Phil pointed out that the action list is probably the most important part of all of this.,"philosophy, priorities, action, importance, focus",event
The participants discussed the QC groups.,"discussion, meeting, groups, quality, process",event
Karola asked about the shipping box survey.,"inquiry, survey, question, shipping, packaging",event
A prototype HV tab holder was discussed.,"prototype, discussion, invention",event
The study was conducted.,"research, experiment, investigation, discovery",event
Sven was responsible for finalizing and rolling out the barrel tooling design.,"finalization, deployment, completion, production, engineering",event
Tony suggested adding a hybrid/module assembly group to the list.,"suggestion, addition, integration, assembly, proposal",event
Craig suggested doing the same on FMC-DP.,"suggestion, proposal, idea",event
The next update expected for Barrel powerboard tendering is 03/02/2020.,"update, tender, deadline, procurement, schedule",event
Sven clarified the ASIC lands on test coupons.,"testing, verification, validation, inspection, calibration",event
The EC is using the same test coupon.,"retest, reuse, duplication, coupon, test",event
Clearance was questioned on the module transport frame for RFID.,"security, clearance, module, transport, access",event
Email was sent around for volunteers for QC groups.,"volunteer, recruitment, invitation, request, outreach",event
Labels for the mini display port were provided on the transport frames.,"transport, packaging, labelling, marking, display",event
A question was raised on whether the survey referred to all shipping options.,"question, survey, shipping, option, validity",event
"Carl, Satish, and Timon were tasked with writing a document on the QC steps.","writing, documentation, collaboration, task, research",event
It was confirmed that metal trace variability should not affect shield layer functionality.,"confirmation, validation, verification, functionality, shielding, testing",event
Clearance on module transport frame for RFID was questioned.,"clearance, transportation, module, rfid, access",event
Test coupon measurements were taken.,"testing, measurements, coupons, quality",event
Review office was contacted about coil ordering by Tony A.,"ordering, inquiry, request, contact, customer, ordering",event
The module transport frame for RFID should be okay.,"assembly, functionality, testing, validation, inspection",event
It was confirmed that a stencil might be more reliable.,"verification, confirmation, reliability, validation, testing",event
QC groups are supposed to bring the group closer to a state with nice instructions for pre-production.,"qc, quality, testing, preparation, improvement",event
Metal trace variability should not affect shield layer functionality.,"stability, reliability, functionality, integrity, robustness, consistency",event
The minutes of the meeting were recorded on 28/01/20.,"meeting, recording, minutes, date",event
The participants decided to appear in the minutes from next week onwards.,"attendance, meeting, decision, schedule, commitment",event
Dave asked how he should understand a watching brief.,"enquiry, guidance, clarification",event
Bob volunteered for electrical tests.,"testing, safety, voltage, shock, electricity",event
Powerboard mass tester roll-out | Timon/Karol | 03/02/2020,"testing, rollout, product, launch, technology",event
The ATLAS performance specs were mentioned.,"release, specification, reveal, details, announcement",event
Dennis suggested moving all EC Tabs to 5mm longer.,"suggestion, adjustment, change, modification",event
The mini display port labelling for the barrel module frame and hybrid panel was discussed.,"display, module, labeling, hardware, discussion",event
10 samples from each 1/50 of production were tested.,"sampling, testing, quality",event
It is an understood risk to buy everything now.,"delay, regret, spending, debt, greed",event
"Timon, Carl, and Satish were responsible for writing the QC document for coils.","collaboration, documentation, quality, responsibility, task, teamwork",event
The risk of yield numbers changing slightly was considered.,"volatility, variation, risk, uncertainty",event
Kambiz was informed about the change proposal.,"notification, news, proposal, announcement",event
sion Hongbo will discuss with them to see if we can optimise the ribbing a bit more to improve planarity,"discussion, collaboration, optimisation, improvement, planning",event
Gerrit likes the security of all 4 sides.,"security, shelter, protection, safety, enclosure",event
The next update expected for EC hybrid/powerboard tendering is 03/02/2020.,"release, update, tender, deadline, announcement",event
Dennis confirmed the core thickness.,"verification, confirmation, discovery, measurement",event
Via chain will remain.,"decay, permanence, fossil",event
Craig speaks in support of v4 for reasons of schedule risk and previous commitment,"endorsement, support, advocacy, commitment, scheduling",event
Bart and Ash were responsible for the tendering of the barrel hybrid.,"tendering, responsibility, task, hybrid, maintenance",event
Timon/Karol are responsible for Powerboard mass tester roll-out,"roll-out, deployment, testing, responsibility, project",event
The people listed as responsible will be contacted periodically.,"contact, followup, notification, reminder, update, communication",event
"Items were left for discussion, including wire bonding.","meeting, discussion, bonding, industry",event
"The quantity of coils was evaluated by EC 10,000.","testing, evaluation, quality, standards, inspection",event
Dennis agreed that Timon was happy.,"agreement, happiness, consent",event
The risk of yield numbers changing slightly is why typically PRR is the point that large numbers get bought.,"volatility, risk, buying, market",event
Vitaliy commented that a prototype HV tab holder was useful.,"review, comment, feedback",event
A proposal was made to move all EC tabs to 5mm longer.,"proposal, adjustment, modification, design change, manufacturing",event
The meeting was introduced by Craig & Ingo.,"introduction, meeting, presentation",event
Jane presented the UV and polaris epoxy temperature dependence.,"presentation, science, temperature, research, study",event
UV LED driver was discussed without any questions.,"discussion, explanation, clarification, explanation, review, briefing",event
EC hybrid/powerboard tendering | Uli/Kambiz/Dennis | 03/02/2020,"tender, bid, procurement, business, negotiation",event
The next update expected for Barrel tooling design finalisation/roll-out is 03/02/2020.,"update, schedule, deadline, rollout, completion",event
Christian gave a status update on the powerboard test crate.,"update, testing, status, crate, powerboard",event
The next update expected for Module thermal cycling roll-out is 03/02/2020.,"release, update, rollout, deployment, milestone",event
People listed as responsible will be contacted periodically by Craig & Ingo for updates.,"notifications, updates, contact, reminders, followups",event
Sven is responsible for Barrel tooling design finalisation/roll-out,"tooling, design, rollout, responsibility, management",event
The QC boundaries for the DCDC coils were discussed.,"qc, discussion, coils, boundaries, specifications, standards, review",event
A comment was made to move weighing and bonding later in the ITk week session.,"comment, decision, change, discussion, planning, scheduling",event
"Actions were carried over from the meeting, including writing a QC document for coils.","meeting, actions, document, quality, coils",event
A shipping box survey was conducted.,"shipping, survey, investigation, inspection",event
It was confirmed that temperature-dependent calibration has been done.,"calibration, adjustment, verification, validation",event
Ordering of mechanical hybrids is not yet closed.,"ordering, registration, sales, closure",event
AoB - BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,"comparison, testing, versioning, development, consideration, planning",event
Uli/Kambiz/Dennis are responsible for EC hybrid/powerboard tendering,"tendering, collaboration, responsibility",event
Bart/Ash are responsible for Barrel hybrid tendering,"tendering, contracting, hybrid, project, management",event
The roll-out of the hybrid crate was expected to begin on 03/02/2020.,"launch, timeline, rollout, release, deployment",event
Actions carried over 1. Write QC document for coils (Timon/Carl/Satish),"document, quality, process, task, assignment, collaboration",event
It was determined that glue amounts should be checked by weight.,"measurement, regulation, control, standard, inspection",event
Craig & Ingo gave an introduction for the meeting.,"greeting, welcome, introduction, presentation, speech",event
A question was raised on how to check glue amounts.,"question, inquiry, measurement, inspection, verification",event
Jens was responsible for monitoring the HV tab bonding.,"monitoring, inspection, maintenance, bonding, testing",event
Tony and Craig agreed that they would need to run it past Uli for BMBF part.,"agreement, approval, collaboration, partnership",event
The risk of yield numbers changing slightly was discussed.,"volatility, uncertainty, discussion, risk, fluctuation",event
You must contact the people listed as responsible periodically.,"notification, reminder, followup, contact, periodic",event
BPOL v4 vs. v5 (we previously committed to v4 for preproduction but could consider v5 if schedule does not change any more,"version, upgrade, software, change, compatibility",event
Ribbing was added to the barrel transport frame.,"ribbing, reinforcement, strengthening, support",event
The action items for the meeting were listed.,"listing, planning, preparation, agenda, discussion",event
"They discussed the powerboard mass tester, module thermal cycling setup, and hybrid crate setup.","meeting, discussion, testing, setup, planning",event
We will push back on review to stick with v4 for preproduction,"pushback, review, delay, revision, hold",event
Mechanical endcap hybrids were discussed.,"research, technology, discussion, innovation",event
Suggestion for minutes to use Google Docs was made by Bart.,"suggestion, meeting, proposal, idea, discussion",event
They also needed to run it past Didier et al.,"collaboration, approval, review, consent",event
Will include discussion of specified suction cups,"discussion, specification, suction, technology",event
Craig and Ingo will contact the people listed as responsible periodically for updates.,"notification, contact, follow-up, updates, reporting, outreach",event
The tender process is not yet complete.,"negotiation, decision, pending, deal, process",event
Craig and Ash will iterate to make sure everything fits together.,"iteration, collaboration, testing, fitting",event
It could improve safety and compatibility.,"compatibility, improvement, safety, upgrade, integration",event
Vitaliy commented on the usefulness of the HV tab holder.,"comment, review, feedback, suggestion, recommendation",event
1. Send site quali document email (Karola),"qualification, sending, emailing, notification",event
500 coils in total were planned to be tested.,"testing, quality, evaluation, assessment",event
It was confirmed that via chain will remain.,"link, chain, connection, bond, relation",event
Craig & Ingo were responsible for emailing ITk week presenters and uploading to indico.,"organizing, emailing, uploading, presentation, responsibility",event
The actions carried over from the previous meeting were discussed.,"followup, discussion, meeting, carryover, review",event
Craig & Ingo,"craig & ingo, people, presenters, duo",entity
Barrel module frame,"structure, frame, module, component",entity
QC document,"document, guide, manual, procedure, blueprint",entity
volunteers,"people, helpers, workers",entity
action list,"task, checklist",entity
specs,"cables, wires, definition, standard",entity
BPOL v4,"software, tool, system, product",entity
EC Tabs,"ec tabs, tabs, interface",entity
not,"negation, refusal",entity
Prague,"city, location, place, capital",entity
email,"communication, message, mail",entity
quantity,"amount, quantity, measure",entity
Craig,"craig, person, name, male",entity
Jens,"person, employee, human",entity
FMC-DP,"algorithm, program",entity
irradiation,"process, step, treatment",entity
wire,"wire, cable, material, metal, cord, electrical",entity
bag volume,"volume, space, air, capacity, size",entity
overhead,"barrel, container, storage",entity
surface,"surface, material, object",entity
Ash,"volcano, fire, lava",entity
be run,"command, instruction, function, order, directive",entity
single connector,"connector, plug, terminal, component",entity
QC boundaries,"limits, boundaries, margins, thresholds",entity
EC,"converter, regulator, device, controller, component, converter, electrical, system",entity
Hybrid crate status,"status, condition, state, thing, object",entity
EC hybrid/powerboard tendering,"tendering, actions, process",entity
"EC 10,000","ec, currency",entity
production,"production, process, output, quantity, measure, assessment",entity
injection moulding company,"company, factory, manufacturer, producer, industry",entity
coils,"springs, wire, metal, objects, structures",entity
Jane,"person, woman, individual, female",entity
labelling,"label, tag, mark",entity
google doc,"document, file, spreadsheet, software",entity
Tony W,"character, person, individual",entity
dessicant,"desiccant, dehumidifier, absorber",entity
Carl,"person, male, man, individual",entity
UV LED driver,"driver, component, electronics, device",entity
sion Hongbo,"person, individual, engineer, specialist",entity
Review office,"office, workplace",entity
Barrel hybrids,"trees, plants",entity
previous commitment,"obligation, commitment, schedule, task, duty",entity
Dennis & Marc,"duo, pair, developers",entity
sealing,"process, technique, method",entity
Ankush,"person, name, individual",entity
samples,"samples, specimens, material, substance",entity
Instructions,"directions, guidelines",entity
them,"group, team, people",entity
Powerboard mass tester roll-out,"powerboard, device, safety, update",entity
QC groups,"qc groups, groups, teams, documents",entity
high voltage connector,"plug, connector, device",entity
isoprop,"chemical, solvent, cleaner",entity
Dennis,"person, name, individual",entity
N2,"gas, element, molecule",entity
powerboard mass tester,"tester, device, machine",entity
hybrid panel,"panel, module, frame",entity
DI water,"water, liquid, solution",entity
Module thermal cycling roll-out,"update, patch",entity
pre-production,"phase, process, stage, development",entity
suction cups,"adhesive, grip, device, product",entity
test coupon design,"coupon, design, test, sample",entity
Strip Module Meeting Minutes,"document, minutes",entity
Updates,"information, data, patches, changes",entity
production management,"management, process, control, systems, organization, workflow",entity
holes,"holes, cavities, gaps",entity
Sergio,"person, developer, engineer",entity
ribbing,"ribbing, rib, plastic",entity
documents,"papers, files, records",entity
roll-out,"roll-out, release, deployment",entity
box,"container, object, package",entity
Introduction,"opening, talk",entity
ATLAS,"atlas, robot, machine, device, hardware, computer, project",entity
Christian,"person, follower, believer, religion, adherent, devotee",entity
03/02/2020,"date, time, day, date",entity
screw guidance,"screw, guidance, assembly aid, mechanical aid",entity
tutorial,"lesson, guide",entity
EC tooling design/roll-out,"ec, design, tooling, software, update, process",entity
mechanical hybrids,"robots, machines, devices",entity
list,"list, catalog, collection, inventory",entity
0.25mm core,"wire, fiber",entity
output buffers,"buffers, computer, technology",entity
barrel,"container, vessel",entity
important,"list, task, goal, priority",entity
responsible,"trait, quality, virtue",entity
Prototype HV tab holder,"prototype, product, holder",entity
module transport frame,"equipment, frame, device",entity
Barrel powerboard tendering,"tendering, procurement, process, actions",entity
CERN,"organization, laboratory, facility, research center, institute",entity
Ingo,"person, individual, man, human",entity
over,"actions, verb, state",entity
Sarah & Kunlin,"people, individuals, pair",entity
Vitaliy,"person, user, individual",entity
appear,"appear, verb, action",entity
Tony,"tony, name, person",entity
Sven,"person, name, character",entity
US,"country, nation, state",entity
Electrical tests,"test, exam",entity
validation,"process, verification, check, test, approval, confirmation",entity
Actions,"actions, movements, deeds, behaviors",entity
sign-off,"phrase, farewell, goodbye, goodbye",entity
transport frame,"frame, structure, equipment",entity
Phil,"person, character, actor",entity
Dave,"person, employee, worker, man, individual",entity
purchasing components,"process, inspection",entity
SCIPP,"project, partnership, collaboration, initiative, program",entity
preproduction,"phase, production, process, stage, development",entity
update,"update, patch, change, modification",entity
clearance,"clearance, permission, approval, authorization",entity
no questions,"driver, circuit, device, electronics",entity
Kunlin,"person, individual, human, person",entity
mini display port,"port, connector, adapter, device, interface",entity
ITk week,"week, event, period, session, conference, meetup",entity
meeting,"gathering, event, meeting, conference",entity
Strip Module Meeting,"meeting, session, conference, gathering",entity
Tony A,"tony, person, employee, worker",entity
ITk week session,"session, meeting, event, gathering",entity
powerboard performance,"powerboard, performance, board, specs",entity
Marc,"person, name, individual",entity
hybrid crate setup,"package, project, setup, configuration, system, setup, setup, configuration",entity
brief,"paper, document, write",entity
happy,"mood, feeling, emotion, state",entity
temperature range,"range, scope, margin",entity
Forest,"ecosystem, nature, woods, trees, environment",entity
Site Qualification Survey,"report, document, survey, assessment",entity
side pocket,"money, wallet, pocket",entity
assembly,"octopus, invertebrate, creature, animal, being",entity
do,"verb, command, instruction",entity
Karol,"person, character, employee, worker",entity
Satish,"person, individual, man, participant",entity
shipping box survey,"survey, box, package, container",entity
Luise,"person, female, worker, employee, worker, participant",entity
updates,"patches, changes, modifications",entity
Dave/Ankush/Sergio,"person, individual, member, human, worker",entity
Barrel hybrid tendering,"tendering, process, method",entity
ATLAS performance specs,"specs, details, information, data, specs, metrics",entity
Minutes,"unit, time, measure, amount",entity
add,"operator, function, code",entity
EDMS,"document, system",entity
document,"paper, record, writing",entity
DCDC coil order,"dcdc, coil, order, sequence, setup",entity
uploading test results to the database,"process, task, database, workflow, function",entity
solder joint,"connection, bond, joint, link",entity
Karola,"person, employee, worker",entity
Bart,"bart, train, transport",entity
we,"people, group, entity, collective, team",entity
Timon/Carl/Satish,"author, writer, person",entity
trickiness,"bug, glitch",entity
vacuum,"vacuum, space, emptiness, void, suction, emptier, cleaner, area",entity
AoB,"aob, project, software",entity
Sarah,"person, woman, individual",entity
Hybrid crate roll-out,"update, release, patch",entity
UV glue,"adhesive, glue, bond",entity
Barrel powerboards,"powerboards, board, device",entity
Hybrid crate,"crate, container, package",entity
HV tab bonding,"bonding, process, technique, method",entity
DCDC coils,"coils, components, parts, devices, electronics",entity
review office,"office, place, room, space",entity
schedule,"plan, timeline, calendar",entity
vacuum sealing,"sealing, method, technique",entity
QC steps,"process, steps, quality",entity
Gerrit,"gerrit, connector, panel, module",entity
magnet tests,"tests, exams, checks, quality control",entity
Uli,"person, employee, individual",entity
